encoder,category,n_runs,f1_mean,f1_std,recall_mean,recall_std,fnr_mean,fnr_std,fpr_mean,fpr_std,auprc_mean,auprc_std,accuracy_mean,accuracy_std,balanced_acc_mean,balanced_acc_std,precision_mean,precision_std,specificity_mean,specificity_std,auc_mean,auc_std,mcc_mean,mcc_std
Rate,Baseline,30,0.7965363865744154,0.16837987559706863,0.8141176470588236,0.1722040007484207,0.18588235294117647,0.1722040007484207,0.07450980392156858,0.05618743201899433,0.8810422122056922,0.03980686424522309,0.7914705882352941,0.15030563858304857,0.8662745098039214,0.026723041415502167,0.813710800878795,0.22381947399730856,0.9254901960784313,0.05618743201899432,0.7857202998846596,0.21988098943992554,0.7397857288166008,0.05423134612269095
Phase,Baseline,30,0.7656168452787973,0.2209470771964845,0.7870588235294116,0.22770939599668694,0.21294117647058827,0.22770939599668696,0.09098039215686267,0.05659067530277628,0.8632834998255808,0.04370063978177362,0.7769607843137255,0.1571052786121212,0.8588235294117648,0.029911717194214597,0.777541269458194,0.2633431863692279,0.9090196078431373,0.05659067530277628,0.7894152249134947,0.19296065533233342,0.7233631820808312,0.06031906089257488
TTFS,Baseline,30,0.7656168452787973,0.2209470771964845,0.7870588235294116,0.22770939599668694,0.21294117647058827,0.22770939599668696,0.09098039215686267,0.05659067530277628,0.8632834998255808,0.04370063978177362,0.7769607843137255,0.1571052786121212,0.8588235294117648,0.029911717194214597,0.777541269458194,0.2633431863692279,0.9090196078431373,0.05659067530277628,0.7894152249134947,0.19296065533233342,0.7233631820808312,0.06031906089257488
Delta-Mod,Proposed,30,0.8022188478701477,0.054245592557104726,0.7780392156862744,0.0759136110805795,0.22196078431372548,0.0759136110805795,0.08235294117647053,0.04490887131390718,0.859441545084884,0.036486763728928596,0.8000980392156865,0.09627498144306933,0.8354901960784314,0.012794560345217757,0.8519370277728212,0.12477860035834379,0.9176470588235295,0.04490887131390722,0.8393754325259516,0.09861722309100975,0.6826523960686223,0.027045103463137352
PDE,Proposed,30,0.8696773711893688,0.024059707701982694,0.8347058823529412,0.031482860491274314,0.16529411764705884,0.03148286049127432,0.0933333333333333,0.029484503890721818,0.8731107629177252,0.03125767725608823,0.8750000000000001,0.022805156654306123,0.8713725490196079,0.021740466478033172,0.9086633767817653,0.030679715622615907,0.9066666666666667,0.02948450389072184,0.9038068050749712,0.02268816781387796,0.7454618692790843,0.04324879890527597
ATDE,Proposed,30,0.876701032748134,0.016232596632658587,0.8317647058823529,0.02850948677924072,0.1682352941176471,0.02850948677924073,0.07333333333333328,0.027846293268089555,0.8937808646642698,0.026487913248352868,0.8830392156862743,0.01570981583742933,0.8774509803921569,0.013278020049850198,0.9284324384113757,0.032275380183434975,0.9266666666666666,0.02784629326808955,0.9189152249134946,0.016522533610312456,0.7592613106286881,0.027299509755664864
MASTE,Proposed,30,0.866033910343971,0.01966027054697758,0.8319607843137254,0.03782927925574669,0.16803921568627453,0.037829279255746695,0.09803921568627445,0.04532884550300205,0.867698128421557,0.02858260988392752,0.8714705882352941,0.018443003393690854,0.8670588235294119,0.01793187525809481,0.905486334674021,0.036031075938103584,0.9019607843137256,0.045328845503002056,0.905177047289504,0.016307244318466967,0.7380508962236566,0.0363964013241698
ST-MW,Proposed,30,0.8845674570729171,0.025507023431391468,0.848235294117647,0.03427883863535578,0.15176470588235286,0.03427883863535578,0.06431372549019602,0.037957404298905394,0.9014970580458835,0.032416131935334144,0.8893137254901958,0.0244554502118085,0.8996078431372548,0.020067442721321972,0.9258254468102264,0.03873097215135358,0.9356862745098039,0.03795740429890537,0.9124538638985006,0.01981790654146336,0.8023096945735678,0.040882076146028005
AMSTE,Proposed,30,0.907916762575424,0.047487742157290624,0.8980392156862744,0.030908501760007763,0.10196078431372549,0.030908501760007763,0.058039215686274466,0.0211935816334828,0.9238600717888475,0.015931397275941804,0.904313725490196,0.07746172074005549,0.92,0.010499158453200345,0.9252829867641188,0.08371236648427546,0.9419607843137254,0.0211935816334828,0.9381666666666668,0.024799724934992082,0.8414611835192226,0.02074574455167445
SFBE,Proposed,30,0.8818799109293913,0.010733644491672446,0.8545098039215685,0.02864865331344953,0.14549019607843133,0.028648653313449533,0.07803921568627446,0.02529770022182706,0.8867026917109336,0.01681126346504086,0.8856862745098038,0.009451404017562342,0.8862745098039216,0.008658589084635139,0.9123945152074298,0.02271043620130018,0.9219607843137255,0.025297700221827042,0.9086326412918109,0.01111128336725432,0.7756565507194023,0.01665459859508495
